TREE_NAMES	Clade	MAG	Total_abundance
TARA_CHLORO_00445	Ochrophytes	mag	32.60088227
TARA_CHLORO_00446	Ochrophytes	mag	84.34116482
TARA_CHLORO_00447	Ochrophytes	mag	41.09939326
TARA_CHLORO_00449	Ochrophytes	mag	109.2708181
TARA_CHLORO_00450	Ochrophytes	mag	96.75903484
TARA_CHLORO_00451	Ochrophytes	mag	64.50900727
TARA_CHLORO_00453	Ochrophytes	mag	147.8897705
TARA_CHLORO_00454	Ochrophytes	mag	263.0029496
TARA_CHLORO_00456	Ochrophytes	mag	25.56595241
TARA_CHLORO_00457	Haptophytes	mag	161.7049419
TARA_CHLORO_00458	Haptophytes	mag	23.50681291
TARA_CHLORO_00459	Haptophytes	mag	27.86195361
TARA_CHLORO_00460	Haptophytes	mag	25.44983187
TARA_CHLORO_00461	Haptophytes	mag	45.98651731
TARA_CHLORO_00462	Haptophytes	mag	77.56454532
TARA_CHLORO_00463	Haptophytes	mag	57.04574978
TARA_CHLORO_00464	Ochrophytes	mag	33.67808063
TARA_CHLORO_00465	Haptophytes	mag	32.04419422
TARA_CHLORO_00466	Haptophytes	mag	30.63902439
TARA_CHLORO_00467	Haptophytes	mag	34.22738795
TARA_CHLORO_00468	Haptophytes	mag	73.67049706
TARA_CHLORO_00469	Haptophytes	mag	91.16352201
TARA_CHLORO_00471	Haptophytes	mag	59.52956313
TARA_CHLORO_00473	Haptophytes	mag	1487.004413
TARA_CHLORO_00474	Haptophytes	mag	86.23671566
TARA_CHLORO_00475	Haptophytes	mag	45.74673131
TARA_CHLORO_00476	Haptophytes	mag	76.37233775
TARA_CHLORO_00477	Haptophytes	mag	1244.73115
TARA_CHLORO_00478	Leptophytes	mag	116.4089765
TARA_CHLORO_00479	Haptophytes	mag	55.54654676
TARA_CHLORO_00480	Cryptophytes	mag	35.59756708
TARA_CHLORO_00481	Ochrophytes	mag	68.08597711
TARA_CHLORO_00482	Haptophytes	mag	229.1506411
TARA_CHLORO_00483	Haptophytes	mag	23.49226203
TARA_CHLORO_00484	Ochrophytes	mag	136.654414
TARA_CHLORO_00485	Haptophytes	mag	49.48100552
TARA_CHLORO_00486	Haptophytes	mag	210.322626
TARA_CHLORO_00489	Ochrophytes	mag	267.5143609
TARA_CHLORO_00490	Cryptophytes	mag	44.46845378
TARA_CHLORO_00491	Haptophytes	mag	19.79448795
TARA_CHLORO_00492	Chlorophytes	mag	17.36201018
TARA_CHLORO_00494	Haptophytes	mag	169.4853722
TARA_CHLORO_00495	Ochrophytes	mag	9.975551463
TARA_CHLORO_00496	Haptophytes	mag	141.0171897
TARA_CHLORO_00497	Ochrophytes	mag	101.768104
TARA_CHLORO_00498	Haptophytes	mag	46.07784818
TARA_CHLORO_00499	Haptophytes	mag	166.9648349
TARA_CHLORO_00500	Haptophytes	mag	677.8429794
TARA_CHLORO_00501	Ochrophytes	mag	1063.809817
TARA_CHLORO_00502	Ochrophytes	mag	76.67446797
TARA_CHLORO_00503	Ochrophytes	mag	1895.62248
